zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
臂至心循环时间,arm-heart circulation time,♪ Arms to heart cycle time ♪,Arm to heart cycle time,Time of heart cycle.,0.74092836,0.861701181,0.783070283
心源性胸痛,cardiogenic chest pain,Heart-based chest pain.,Heart-borne chest pain,Heart Source Breast Pain,0.662330121,0.733580779,0.664920407
心绞痛,angina pectoris,Heartache.,Angina,Heart hanging.,0.088418004,0.971868327,0.158075747
劳力性心绞痛,angina of effort,Labour strangulation.,Labour-induced angina,Working heart pain.,0.378439623,0.64023775,0.656020395
稳定型心绞痛,stable angina pectoris,Stabilised heart strangulation.,Static angina,Stable heart pain.,0.346323207,0.781774436,0.521800396
稳定型劳力性心绞痛,stable angina pectoris of effort,Stabilised labor strangulation.,Stability-type labour-induced angina,Stabil Working Heart Pain,0.360002532,0.65887901,0.585801417
典型心绞痛,typical angina pectoris,Typical strangulation.,Typical angina,Typical heart pain.,0.38214623,0.945425496,0.483919227
普通型心绞痛,general angina pectoris,Normal heartache.,Common type of angina,Ordinary heart pain,0.259151797,0.694281439,0.446516185
初发型心绞痛,initial onset angina pectoris,First-time heartache.,Initial type of angina,Early hair pain.,0.183137744,0.777573045,0.375612803
初发型劳力性心绞痛,initial angina pectoris of effort,First-time labor strangulation.,Initial type of labour-induced angina,Early working heart pain.,0.424421946,0.762901512,0.594766534
恶化型心绞痛,accelerated angina peoctoris,Deteriorating strangulation.,Degenerative angina,deteriorating heart pain.,0.342843545,0.783883679,0.456591137
恶化型劳力性心绞痛,exacerbation angina pectoris of effort,Deteriorating labor strangulation.,Exacerbated labour-induced angina,worsened heart pain.,0.383126385,0.685263355,0.597347809
劳力性心绞痛的分级,grading of exertional angina pectoris,The grade of labor strangulation.,Classification of labour-intensive angina,Level of Working Heart Pain,0.309025325,0.577823453,0.398786077
自发性心绞痛,spontaneous angina pectoris,It's spontaneous strangulation.,Spontaneous angina,Spontaneous Heart Pain,0.359667075,0.955997631,0.610158472
卧位性心绞痛,angina decubitus,Sitting strangulation.,Sleeping angina,Sleeping heart pain.,0.197367932,0.699468083,0.283854882
变异型心绞痛,variant angina pectoris,A mutant heartache.,Variable angina,Variable Heart Pain,0.180054317,0.781828096,0.399576693
血管痉挛性心绞痛,vasospastic angina pectoris,Cardiovascular convulsions.,Vascular spasm,Blood and heart pain.,0.519304495,0.584654862,0.322627672
Prinzmetal型心绞痛,Prinzmetal angina pectoris,Prinzmetal-type heartache,Prinzmetal type angina,Principles of Heart Pain,0.070741286,0.7855601,0.270655423
Prinzmetal综合征,Prinzmetal syndrome,Prinzmetal syndrome,Prinzmetal syndrome,The Prinzmetal Syndrome,1,1,0.875401406
梗死前心绞痛,preinfarction angina pectoris,He's got a heartache before he dies.,Pre-infarction angina,Heart hurt before death.,-0.00473194,0.781303194,0.164788856
梗死后心绞痛,postinfarctional angina pectoris,A heartache after death.,Cardiac angina after infarction,Heart hurt after death.,0.117653617,0.808813786,0.179694923
混合性心绞痛,mixed againa pectoris,Mixed heart strangulation.,Mixed angina,Mixed heart pain.,0.527966055,0.929686045,0.527420167
不稳定型心绞痛,unstable angina,Unsettled heartache.,unstable angina,Unstable heart pain,0.274055496,1,0.703124652
上升型心绞痛,crescendo angina,An upscaling heartache.,Rising angina,Upward heart pain.,0.195208958,0.77736013,0.402162787
特重型不稳定型心绞痛,specific severe unstable angina pectoris,Extremely heavy and unstable heart strangulation.,Special type of unstable angina,Unstable Heart Pain,0.596978789,0.814412071,0.723456174
不稳定心绞痛分型,types of unstable angina pectoris,Unsettled heart strangulation.,Instability type of angina,Instability of Heart Pain,0.480161588,0.867505981,0.635872838
顽固性心绞痛,intractable angina pectoris,Perseverance strangulation.,Persistent angina,perseverance heart pain.,0.256148962,0.85408242,0.355800358
不稳定型心绞痛分类,classification of unstable angina pectoris,Unstable heartache classification,Classification of unstable angina,Instability of Heart Pain,0.684472126,0.958563294,0.593645231
不典型心绞痛,atypical angina pectoris,Untypical heartache.,Atypical angina,Untypical Heart Pain,0.23266173,0.960651671,0.51523496
假性心绞痛,false angina pectoris,Fake heartache.,False angina,Fake heart pain.,0.23089243,0.94108054,0.415496501
冠状动脉“盗血”现象,coronary steal phenomenon,The phenomenon of the coronary artery “blood theft”,"The phenomenon of ""theft of blood"" in coronary artery",The coronary artery “blood stolen” phenomenon,0.809272359,0.765460546,0.862083098
冠状动脉功能不全,coronary insufficiency,The coronary artery is not fully functional.,Coronary artery dysfunction,Coronary artery function is incomplete.,0.622534078,0.899431783,0.746861994
冠状动脉供血不足,coronary insufficiency,We don't have enough coronary blood.,Inadequate blood supply in coronary artery,Coronary arteries lack of blood supply.,0.433448128,0.793662349,0.704055319
冠脉病变分型,types of coronary artery disease,Coronary Disorder,Coronary artery disease,The coronary disease.,0.859385682,0.940732433,0.912166944
慢性冠状动脉功能不全,chronic coronary insufficiency,Chronic coronary artery failure,Chronic coronary artery dysfunction,Chronic coronary artery dysfunction,0.939322597,0.940368904,0.940368904
慢性冠状动脉供血不足,chronic coronary insufficiency,Chronic coronary blood supply is inadequate,Chronic coronary artery insufficiency,Chronic coronary arteries lack of blood supply,0.829020355,0.978247384,0.831687917
无痛性心肌缺血临床分型,clinical classification of painless myocardial ischemia,Anaemic myocardial ischaemic clinical speciosis.,Clinical differentiation of painless myocardial ischemia,Painless cardiovascular deficiency clinical type,0.886847884,0.963256537,0.823339224
无症状心肌缺血的分型,types of nonsymptomatic myocardial ischemia,Unsymptomatic ischaemic hemorrhage.,Syndrome-free type of myocardial ischemia,Unsymptomatic cardiovascular blood deficiency.,0.71679941,0.882386261,0.677391283
冠心病临床指数诊断法,clinical index diagnosis of coronary heart disease,Diagnosis of coronary heart disease clinical indexes,Clinical index diagnosis of coronary heart disease,Clinical Index Diagnosis,0.990783607,0.999999992,0.884058663
心肌顿抑,"Myocardial stunning,MS",My heart's depressed.,Cardiac arrest,the heart.,0.433196721,0.507592055,0.500316061
心肌冬眠,myocardial hibernation,Myocardial hibernation.,Heart muscle winter sleep,Hypnosis of heart,0.925847579,0.484121389,0.303418081
心肌硬化,myocardial sclerosis,Heart sclerosis,Cardiovascular hardening,Heart is hardened.,0.774565742,0.623700385,0.261766625
心肌梗死,"myocardial infarction,MI",Myocardial infarction.,Myocardial infarction,Heart attack is dead.,0.875451263,0.863830326,0.362076327
右心室梗死,right ventricular infarction,Right-heart infarction.,Right ventricular infarction,Right heart attack.,0.701312496,1.000000002,0.464280974
无痛性心肌梗死,painless myocardial infarction,Painless heart infarction.,Painless myocardial infarction,Painless heart attack.,0.832618224,0.999999989,0.498419527
无Q波型心肌梗死,non-Q-wave myocardial infarction,No Q-wave myocardial infarction.,Non-Q-wave type myocardial infarction,No Q Wave Heart Attack,0.934915033,0.979084641,0.638125689
急性心肌梗死所致心力衰竭,heart failure following actute myocardial infarction,Heart failure due to acute myocardial infarction,Cardiac failure due to acute myocardial infarction,Acute heart attack causes heart failure.,0.95885476,0.945156385,0.800429997
乳头肌功能失调,dysfunction of papillary muscle,Head muscle dysfunction.,Laryngeal dysfunction,Breast muscle function disorder.,0.801737267,0.764898541,0.771585321
心脏破裂,cardiac rupture,Heart break.,Heart rupture,the heart broken.,0.386913659,0.827576125,0.370274945
急性心肌梗死心脏破裂,acute myocardial infarctional cardiorrhexis,Acute myocardial infarction.,Acute myocardial infarction heart rupture,Acute heart attack death heart break,0.965547165,0.940405059,0.594876449
心室游离壁破裂,ventricular free wall rupture,The walls of the ventricle are broken.,Cardiac ventricular wall rupture,Heart room from the wall broken.,0.645472236,0.903111443,0.580331897
室壁瘤,ventricular aneurysm,Diaphragm.,Mural tumor,Room wall tumors,0.334952789,0.45587436,0.4075759
梗死后综合征,postinfarction syndrome,Post-mortem syndrome.,Post-infarction syndrome,Syndrome after death.,0.332551053,0.590078492,0.425050761
冠脉内血栓,coronary embolism,The blood clot in the coronary.,Coronary thrombosis,The coronary blood clots.,0.621661155,0.944947207,0.741838885
冠脉灌注的标准,standard of coronary antery perfusion,The standard of coronary injection.,Standards for coronary infusion,The coronary standard.,0.821994808,0.838203636,0.82975284
PTCA后的再狭窄,postpercutaneous transluminal coronary angioplasty restenosis,It's narrow after PTCA.,Restrictions after PTCA,The PTCA is narrow.,0.129534183,0.194571635,0.119529346
急性心肌梗死预后指数,prognostic index of acute myocardial infarction,Acute myocardial infarction prognosis,Acute myocardial infarction prognosis index,Acute heart attack death predictions,0.938071678,0.971413675,0.633574292
危险性心律失常,dangerous arrhythmia,Dangerous heart disorder.,Dangerous Cardiac Dysfunction,Dangerous heart disease.,0.689362605,0.816400262,0.690567967
心律失常严重程度判断,risk judgement of arrhythmia,Sensitization of arrhythmia.,Determination of severity of heart failure,The severity of heart failure.,0.750359629,0.827072899,0.789956318
猝死,sudden death,Quick death.,Sudden death,of death.,0.758427197,0.99999995,0.769711619
心脏性猝死,sudden cardiac death,A sudden death of the heart.,Sudden cardiac death,heart attack death.,0.76860817,1.000000011,0.774356923
冠心病猝死,coronary heart disease sudden death,The coronary died of a sudden death.,Suicide from coronary heart disease,Crohn heart disease is dead.,0.851055091,0.941538202,0.849973075
猝死的分类,classification of sudden death,Categorization of sudden death,Categories of sudden death,Classification of Death,0.945166667,0.93072636,0.947009367
心律失常性猝死,sudden arrhythmia death,A sudden death of arrhythmia.,Sudden cardiac death,Heart disorder is dead.,0.879063099,0.938945881,0.649551232
非心律失常性猝死,sudden nonarrhythmia death,A sudden death of an arrhythmia.,Non-cardiac abnormality,Uncommon heart disorder.,0.833683891,0.450508908,0.630564222
心源性猝死,sudden cardiac death,A sudden death of heart.,Heart-induced sudden death,Heart source death.,0.800757544,0.869864084,0.726506502
晚发性心脏性猝死,late sudden cardiac death,A sudden death of the late heart.,Late cardiac sudden death,Late heart attack death,0.833112801,1.000000009,0.86485907
急性心肌梗死后猝死分型,sudden death classification after actute myocardial infarction,A sudden death after acute myocardial infarction.,Sudden death after acute myocardial infarction,Acute heart attack after death.,0.946070627,0.964681828,0.782416284
青年心脏猝死,juvenile sudden cardiac death,A young man's heart died.,Youth Heart Suicide,The youth’s heart is dead.,0.635906826,0.679779932,0.610002019
心搏骤停,cardiac arrest,Heart arrest.,Cardiac arrest,Heart attack stops.,0.734042026,1.000000014,0.497476759
心脏死亡,cardiac death,Heart's dead.,Heart death,The heart death.,0.596740039,0.816826166,0.716850521
心跳呼吸停止后神经的预测,postcardiac and respiratory arrest nevers prediction,Nervous predictions after the heart's breathing has stopped.,Prediction of the nervous system after cardiac arrest,Previsions of the nerve after heart rate breathing stops,0.626365598,0.775163325,0.653934654
心力衰竭,heart failure,Heart failure.,Cardiac failure,heart failure.,0.935896433,0.812734615,0.935896433
收缩性心力衰竭,systolic heart failure,Condensive heart failure.,Contractional heart failure,Compressive heart failure.,0.797489566,0.879772649,0.791746009
舒张性心力衰竭,diastolic heart failure,Comfortable heart failure.,Relaxative heart failure,Comfort of heart failure.,0.688772884,0.872399995,0.682621903
充血性心力衰竭,congestive heart failure,Breathing heart failure.,Congestive heart failure,Blooded heart failure.,0.816478515,1.000000018,0.780585802
心功能不全,cardiac insufficiency,Heart failure.,Heart failure,Heart function is incomplete.,0.537493507,0.628445218,0.451224086
舒张功能不全性心力衰竭,heart failure of diastolic dysfunction,Comfort function is not full of heart failure.,Cardiac failure due to incomplete relaxation,Incomplete function heart failure.,0.70255246,0.770760039,0.756545589
左心室舒张功能不全性心力衰竭,heart failure of left ventricular diastolic dysfunction,The left coronary cosmopolitan function is not full of heart failure.,Left ventricular relaxation incomplete cardiac failure,Left Heart Comfort Incomplete Heart Failure,0.761353647,0.891264531,0.756547566
心力衰竭诊断标准,heart failure diagnosis standard,Diagnosis criteria for heart failure,Diagnostic Standards for Cardiac Failure,Heart failure diagnosis standards,0.931871093,0.879822834,0.964735067
心力衰竭的分类,classification of heart failure,Classification of heart failure,Categories of heart failure,Classification of heart failure,0.999999961,0.931368635,0.999999961
老年性心力衰竭,senile heart failure,Old-age heart failure,Aging cardiac failure,Elderly mental failure.,0.764971054,0.781157185,0.737354862
难治性心力衰竭,"obstinate heart failure,intractable heart failure",It's an incurable heart failure.,Intractable heart failure,Difficult heart failure.,0.815229454,0.9584257,0.866647864
顽固性心力衰竭,intractable heart failure,Intransigent heart failure.,Persistent cardiac failure,Persistent heart failure.,0.883153415,0.815872545,0.860369101
心功能分级,grading of cardiac function,Heart function gradation,Heart function classification,Classification of heart function.,0.737542993,0.783552174,0.79376209
心功能状态分级,grading of cardiac function state,Heart function status classification,Cardiac state classification,Classification of heart function.,0.771579952,0.847719436,0.804857543
心功能不全的分级,grading of cardiac insufficiency,An incomplete classification of the heart.,Classification of heart failure,Incomplete level of heart function.,0.598963721,0.728273583,0.633110357
心力衰竭的分度,degrees of heart failure,The degree of heart failure.,Degree of heart failure,The degree of heart failure.,0.944691226,0.969347907,0.944691226
